,Current_d,Future_d,delta_d,order
tmp_D.467,-2.22E-16,0.001190712,-0.001190712,379
tmp_D.206,0.166225643,0.167379933,-0.00115429,380
tmp_D.582,0,0.001151543,-0.001151543,381
tmp_D.406,0.012704781,0.013714071,-0.00100929,382
tmp_D.322,0,0.000967867,-0.000967867,383
tmp_D.587,0.008176919,0.009041251,-0.000864332,384
tmp_D.122,0.122993654,0.123840182,-0.000846527,385
tmp_D.114,0.000207684,0.001003613,-0.000795929,386
tmp_D.382,0.204112591,0.204907975,-0.000795385,387
tmp_D.149,0.000939629,0.001642576,-0.000702947,388
tmp_D.38,0.056858238,0.05741916,-0.000560922,389
tmp_D.535,0.312414734,0.312962612,-0.000547878,390
tmp_D.177,0,0.000525947,-0.000525947,391
tmp_D.602,0,0.000524797,-0.000524797,392
tmp_D.802,0,0.000502008,-0.000502008,393
tmp_D.349,0.240104849,0.240571121,-0.000466271,394
tmp_D.134,0.326026305,0.326457259,-0.000430954,395
tmp_D.687,0,0.000376932,-0.000376932,396
tmp_D.403,0.062869052,0.063231441,-0.000362389,397
tmp_D.78,0.391845197,0.392142857,-0.00029766,398
tmp_D.721,0.072676728,0.072951208,-0.00027448,399
tmp_D.428,0.076846966,0.077071291,-0.000224325,400
tmp_D.368,0.077430972,0.077559986,-0.000129014,401
tmp_D.238,0.001739563,0.001785714,-4.61517E-05,402
tmp_D.76,-2.22E-16,1.11E-16,-3.33067E-16,403
tmp_D.104,0,1.11E-16,-1.11022E-16,404
tmp_D.138,0,1.11E-16,-1.11022E-16,405
tmp_D.267,0,1.11E-16,-1.11022E-16,406
tmp_D.378,0,1.11E-16,-1.11022E-16,407
tmp_D.516,0,1.11E-16,-1.11022E-16,408
tmp_D.546,0,1.11E-16,-1.11022E-16,409
tmp_D.577,0,1.11E-16,-1.11022E-16,410
tmp_D.618,0,1.11E-16,-1.11022E-16,411
tmp_D.784,0,1.11E-16,-1.11022E-16,412
tmp_D.798,0,1.11E-16,-1.11022E-16,413
tmp_D.846,0,1.11E-16,-1.11022E-16,414
tmp_D.109,0,0,0,415
tmp_D.112,1.11E-16,1.11E-16,0,416
tmp_D.158,1.11E-16,1.11E-16,0,417
tmp_D.194,1.11E-16,1.11E-16,0,418
tmp_D.255,0,0,0,419
tmp_D.283,0,0,0,420
tmp_D.297,0,0,0,421
tmp_D.324,0,0,0,422
tmp_D.33,0,0,0,423
tmp_D.337,NA,NA,0,424
tmp_D.361,0,0,0,425
tmp_D.363,0,0,0,426
tmp_D.365,0,0,0,427
tmp_D.366,0,0,0,428
tmp_D.469,0,0,0,429
tmp_D.530,0,0,0,430
tmp_D.54,NA,NA,0,431
tmp_D.578,0,0,0,432
tmp_D.579,0,0,0,433
tmp_D.615,0,0,0,434
tmp_D.669,0,0,0,435
tmp_D.694,0,0,0,436
tmp_D.759,0,0,0,437
tmp_D.783,0,0,0,438
tmp_D.799,0,0,0,439
tmp_D.811,0,0,0,440
tmp_D.812,0,0,0,441
tmp_D.825,0,0,0,442
tmp_D.854,0,0,0,443
tmp_D.200,1.11E-16,0,1.11022E-16,444
tmp_D.371,1.11E-16,0,1.11022E-16,445
tmp_D.52,1.11E-16,0,1.11022E-16,446
tmp_D.632,1.11E-16,0,1.11022E-16,447
tmp_D.670,1.11E-16,0,1.11022E-16,448
tmp_D.671,1.11E-16,0,1.11022E-16,449
tmp_D.804,1.11E-16,0,1.11022E-16,450
tmp_D.201,0,-2.22E-16,2.22045E-16,451
tmp_D.270,0,-2.22E-16,2.22045E-16,452
tmp_D.484,1.11E-16,-2.22E-16,3.33067E-16,453
tmp_D.8,0.008358663,0.008328491,3.01714E-05,454
tmp_D.141,0.182687056,0.182654402,3.26542E-05,455
tmp_D.536,0.212425765,0.212391637,3.41283E-05,456
tmp_D.527,0.002912186,0.002839117,7.30697E-05,457
tmp_D.656,0.11946533,0.11937686,8.84702E-05,458
tmp_D.753,0.017369201,0.017249005,0.000120197,459
tmp_D.113,0.315412186,0.315274015,0.000138171,460
tmp_D.249,0.004998913,0.004846527,0.000152387,461
tmp_D.46,0.002634434,0.002342764,0.000291669,462
tmp_D.750,0.045603944,0.045271391,0.000332553,463
tmp_D.35,0.022500423,0.022147084,0.000353339,464
tmp_D.241,0.000397062,0,0.000397062,465
tmp_D.310,0.077637444,0.077237434,0.000400011,466
tmp_D.246,0.000417101,0,0.000417101,467
tmp_D.584,0.017426593,0.016992138,0.000434455,468
tmp_D.620,0.045945946,0.045446079,0.000499867,469
tmp_D.294,0.117897296,0.11735897,0.000538326,470
tmp_D.446,0.124651362,0.124009901,0.000641461,471
tmp_D.32,0.031274535,0.030626873,0.000647662,472
tmp_D.515,0.000708215,0,0.000708215,473
tmp_D.321,0.000979432,0.000269397,0.000710035,474
tmp_D.648,0.044296788,0.043503148,0.00079364,475
tmp_D.435,0.01473397,0.013888889,0.000845081,476
tmp_D.588,0.001682793,0.000729927,0.000952866,477
tmp_D.821,0.232506554,0.231527094,0.00097946,478
tmp_D.840,0.00099272,0,0.00099272,479
tmp_D.664,0.001003009,0,0.001003009,480
tmp_D.719,0.086378738,0.085277151,0.001101587,481
tmp_D.240,0.003125,0.002001001,0.001123999,482
tmp_D.338,0.001130199,-2.22E-16,0.001130199,483
tmp_D.372,0.064953271,0.063815029,0.001138242,484
tmp_D.10,0.026021401,0.024849216,0.001172185,485
tmp_D.45,0.00459674,0.003390507,0.001206234,486
tmp_D.852,0.001231527,0,0.001231527,487
tmp_D.20,0.054345528,0.053051059,0.001294469,488
tmp_D.785,0.133706294,0.132289417,0.001416877,489
tmp_D.247,0.002589641,0.001060221,0.001529421,490
tmp_D.417,0.133932912,0.132372215,0.001560697,491
tmp_D.237,0.021162791,0.019595177,0.001567614,492
tmp_D.80,0.005575266,0.003953685,0.001621581,493
tmp_D.37,0.362913205,0.361198189,0.001715016,494
tmp_D.437,0.028050216,0.026299179,0.001751036,495
tmp_D.162,0.165851584,0.164077882,0.001773702,496
tmp_D.51,0.00766032,0.005865103,0.001795217,497
tmp_D.72,0.230936819,0.229055851,0.001880968,498
tmp_D.851,0.001886348,0,0.001886348,499
tmp_D.36,0.169950206,0.168017525,0.001932681,500
tmp_D.373,0.09849051,0.096442468,0.002048042,501
tmp_D.651,0.024610336,0.022539444,0.002070892,502
tmp_D.778,0.106747035,0.104674391,0.002072644,503
tmp_D.323,0.072086234,0.069973428,0.002112806,504
tmp_D.358,0.094559209,0.092379386,0.002179823,505
tmp_D.454,0.060949299,0.058747412,0.002201887,506
tmp_D.777,0.276235509,0.273999398,0.002236111,507
tmp_D.507,0.036501224,0.034243606,0.002257618,508
tmp_D.747,0.002278943,-2.22E-16,0.002278943,509
tmp_D.611,0.306,0.303524614,0.002475386,510
tmp_D.117,0.003771213,0.001269573,0.00250164,511
tmp_D.661,0.006983511,0.004385049,0.002598462,512
