id,name,area,perimeter,Currentclim
296,"Mauremys reevesii (Gray, 1831)",351.936417,114.947989,
297,"Mauremys sinensis (Gray, 1834)",327.965951,103.644677,3.370370314
298,"Melopsittacus undulatus (Shaw, 1805)",807.495594,126.638028,1.015873012
299,"Meriones unguiculatus (Milne-Edwards, 1867)",389.715509,105.016522,1.118055576
300,"Mesocricetus auratus (Waterhouse, 1839)",691.957529,123.971949,1.078703682
301,"Mimus gilvus (Vieillot, 1808)",8.230094,87.3282,14.18827163
303,"Muntiacus reevesi (Ogilby, 1839)",29.359726,33.772472,3.507716008
305,"Mustela putorius Linnaeus, 1758",603.385737,119.544283,1.629629657
306,"Mustela putorius furo Linnaeus, 1758",234.710193,97.700177,
307,"Myiopsitta monachus (Boddaert, 1783)",474.910889,105.082888,3.567901166
311,"Neochmia modesta (Gould, 1837)",2.548113,78.161584,1.799130745
313,"Neochmia ruficauda (Gould, 1837)",53.367885,85.816943,1.036265423
318,"Neophema bourki (Gould, 1841)",2.627828,72.476845,3.787326395
319,"Notophthalmus viridescens (Rafinesque, 1820)",224.126195,62.849079,1
320,Notophthalmus viridescens viridescens,61.792236,37.154383,2.097619076
321,"Notophthalmus viridescens louisianensis (Wolterstorff, 1914)",65.867153,33.110155,3.648148094
323,"Notophthalmus viridescens dorsalis (Harlan, 1829)",0.00042,5.277248,3.10802468
324,"Nymphicus hollandicus (Kerr, 1792)",760.999765,123.230827,2.153395051
325,"Octodon degus (Molina, 1782)",149.951512,97.924862,3.611111082
328,"Oryx dammah (Cretzschmar, 1827)",13.30416,15.338825,9.361111157
329,"Oryx gazella (Linnaeus, 1758)",20.503529,20.338278,3.672839497
330,Oryx gazella gazella,10.51441,21.160958,4.54629628
331,"Osteopilus septentrionalis (Dum?ril & Bibron, 1841)",331.573836,77.179298,1
335,"Panthera leo (Linnaeus, 1758)",360.244921,96.563617,1.631655106
336,"Panthera onca (Linnaeus, 1758)",613.292081,112.041296,1.001587301
339,"Panthera tigris (Linnaeus, 1758)",109.305447,44.9735,2.448559655
341,Panthera tigris tigris,12.13183,76.8096,
347,"Passer montanus (Linnaeus, 1758)",25.867903,20.474834,2.475308706
348,"Pavo muticus Linnaeus, 1766",396.915761,109.226004,
349,"Pelodiscus sinensis Wiegmann, 1835",347.10327,105.78121,1.364197498
352,"Pelusios castaneus (Schweigger, 1812)",278.278622,99.73086,1.342777772
356,"Phelsuma grandis Gray, 1870",23.422152,35.404573,
364,"Phonipara canora (Gmelin, 1789)",195.650582,90.096121,4.37345686
365,"Phrynops hilarii (Dum?ril & Bibron, 1835)",0.033702,80.592307,3.070987684
370,"Phrynosoma platyrhinos Girard, 1852",68.342791,32.05151,1.017037039
372,"Physignathus cocincinus Cuvier, 1829",0,0.003976,12.85918204
377,"Pionus maximiliani (Kuhl, 1820)",25.860808,78.878914,
382,"Platycercus elegans (Gmelin, 1788)",75.936136,73.393823,14.76234565
386,"Platycercus eximius (Shaw, 1792)",359.528195,95.042505,3.941357979
388,"Podarcis siculus campestris (De Betta, 1857)",55.220794,51.925646,
389,"Podarcis siculus (Rafinesque-Schmaltz, 1810)",494.419619,115.646843,1.558642002
390,Podarcis siculus siculus,0.016965,0.520136,4.126851898
391,"Poephila acuticauda (Gould, 1840)",305.51906,97.489819,3.253086427
395,"Pogona vitticeps (Ahl, 1926)",341.504781,103.39171,6.407407354
406,"Polytelis anthopeplus (Lear, 1831)",200.930688,78.701549,8.629629595
408,"Porphyrio poliocephalus (Latham, 1801)",5.278061,10.221295,13.23765428
409,"Potos flavus (Schreber, 1774)",607.000689,119.400266,3.287037061
411,"Ara auricollis Cassin, 1853",10.594087,51.115844,14.28009256
416,"Probosciger aterrimus (Gmelin, 1788)",209.414823,67.842382,4.175925836
417,"Procavia capensis (Pallas, 1766)",0.019908,60.293689,2.259865496
421,"Psittacara erythrogenys Lesson, 1844",112.025055,90.176277,2.052469158
422,"Psittacara leucophthalmus (M?ller, 1776)",5.400442,9.62448,12.74382714
423,"Psittacara mitratus (Tschudi, 1844)",82.518749,89.559814,2.799382739
424,"Psittacara holochlorus (P.L.Sclater, 1859)",0.075593,1.955011,14.9000773
425,"Brotogeris chiriri (Vieillot, 1818)",7.569494,78.26973,4.207754687
426,"Psittacula krameri (Scopoli, 1769)",287.983528,101.123329,1.414076255
427,"Thectocercus acuticaudatus (Vieillot, 1818)",52.399336,77.461543,
428,"Amazona Lesson, 1830",0.109627,3.909601,2.894097227
433,"Psittacula cyanocephala (Linnaeus, 1766)",23.034127,78.524717,5.614999962
434,"Psittacula derbiana (Fraser, 1852)",41.294004,55.352869,11.04629626
437,"Psittacus erithacus Linnaeus, 1758",324.109147,90.519621,4.216049379
441,"Ptilinopus porphyreus (Temminck, 1822)",198.212654,83.815177,6.104938324
443,"Pyrrhura molinae (Massena & Souance, 1854)",21.502997,77.099808,
446,"Python bivittatus Kuhl, 1820",7.670756,14.105324,13.23765428
447,"Python regius (Shaw, 1802)",42.20773,27.481396,
448,"Python sebae (Gmelin, 1789)",0.225508,4.843139,13.20061733
450,"Ramphastos toco P.L.S.M?ller, 1776",158.873679,59.780589,8.308641964
452,"Ranoidea caerulea (White, 1790)",0.671681,5.520981,12.59567902
453,"Rattus norvegicus (Berkenhout, 1769)",964.707253,133.113578,2.120370303
454,"Rhinella marina (Linnaeus, 1758)",193.193451,63.379482,2.802469162
455,"Rhinoclemmys pulcherrima (Gray, 1855)",100.953548,52.853514,8.411375633
458,"Rucervus duvaucelii (G.Cuvier, 1823)",0.826397,55.830451,3.006172831
459,"Salvator merianae Dum?ril & Bibron, 1839",32.235735,25.343413,12.47222227
461,"Salvator rufescens (G?nther, 1871)",25.94764,76.192553,
462,"Sceloporus variabilis Wiegmann, 1834",6.171979,10.059479,11.41666668
463,"Sceloporus variabilis marmoratus Hallowell, 1852",0.000003,0.014573,13.54320981
464,Serinus canaria domestica,305.552974,108.60152,4.268518497
465,"Serinus canaria (Linnaeus, 1758)",763.336644,128.974839,1.004629629
467,"Serinus mozambicus (P.L.Statius M?ller, 1776)",159.379575,68.544231,8.425925851
468,"Siebenrockiella crassicollis (Gray, 1831)",0.281556,4.332852,1
471,"Spermestes cucullata Swainson, 1837",41.739568,48.535323,4.166666683
474,"Sphaerodactylus argus Gosse, 1850",0.006379,0.518304,
476,"Streptopelia chinensis (Scopoli, 1786)",0.000293,1.236434,4.126851898
478,"Staurotypus salvinii Gray, 1864",0.000003,0.018837,13.69510585
481,"Streptopelia capicola (Sundevall, 1857)",38.211145,41.829682,2.704475315
482,Streptopelia risoria (Sundevall),686.550616,115.187105,2.975308656
483,"Taeniopygia bichenovii (Vigors & Horsfield, 1827)",44.474863,88.268586,1.385995436
485,"Taeniopygia guttata (Vieillot, 1817)",533.719245,116.293416,2.290123472
486,"Taeniopygia guttata castanotis (Gould, 1837)",0.14411,81.791892,2.516203691
487,"Poephila guttata (Vieillot, 1817)",309.753682,93.052834,4.771605002
497,"Tarentola annularis (Geoffroy Saint-Hilaire, 1827)",37.787186,77.142253,
498,"Tarentola mauritanica (Linnaeus, 1758)",195.791527,86.660244,14.60493818
499,"Taurotragus oryx (Pallas, 1766)",1.75526,76.431776,2.407407427
502,"Testudo hermanni Gmelin, 1789",9.157005,37.881179,
503,"Testudo horsfieldii Gray, 1844",658.272077,122.517473,1.055555554
509,"Threskiornis aethiopicus (Latham, 1790)",26.802587,57.394956,10.9837963
510,"Tiliqua scincoides (White, 1790)",1.818192,8.251657,12.96913576
511,"Tockus erythrorhynchus (Temminck, 1823)",23.192984,78.214933,5.614999962
514,"Trachemys grayi (Bocourt, 1868)",0.058312,3.259069,4.050540166
516,"Trachemys venusta (Gray, 1855)",88.444939,43.572746,
518,"Trachylepis quinquetaeniata (Lichtenstein, 1823)",5.4754,76.802659,12.98456792
521,"Tragelaphus strepsiceros (Pallas, 1766)",0.036108,19.874832,8.817901345
525,"Trichoglossus haematodus (Linnaeus, 1771)",302.917985,91.731827,4.018518376
529,"Trichoglossus haematodus moluccanus (Gmelin, 1788)",164.766845,90.89356,1
532,"Trioceros jacksonii (Boulenger, 1896)",0.001455,76.401609,3.787326395
536,"Tupinambis teguixin (Linnaeus, 1758)",1.397879,6.293171,11.95987658
538,"Uraeginthus bengalus (Linnaeus, 1766)",286.705981,91.87831,2.407407401
545,"Varanus albigularis Daudin, 1802",0.92944,6.046028,13.46296299
549,"Varanus exanthematicus (Bosc, 1792)",90.334389,78.985809,6.310185138
551,"Varanus niloticus (Linnaeus, 1766)",6.131716,10.896125,13.23765428
554,"Varanus salvator (Laurenti, 1768)",327.673255,102.846399,4.067901333
561,"Vidua macroura (Pallas, 1764)",18.426769,47.154894,3.469135773
562,"Vidua paradisaea (Linnaeus, 1758)",128.60504,52.735883,1.925925894
564,"Vulpes zerda (Zimmermann, 1780)",8.7638,35.070565,1.059027778
566,"Xenopus laevis (Daudin, 1802)",142.314344,90.636893,6.160493876
