n_sp,uni_range_summary,Class,mn_tmp,lwr_tmp,upr_tmp,mn_tmax,lwr_tmax,upr_tmax,mn_tmin,lwr_tmin,upr_tmin,mn_p,lwr_p,upr_p
137,Boiga cyanea,Reptilia,25.78025629,25.2701274,26.29038519,27.99713079,27.17070309,28.82355848,17.17765978,16.07092033,18.28439922,15.35164652,10.91595342,19.78733962
138,Boiga dendrophila,Reptilia,26.78963933,26.40997732,27.16930135,29.2114882,28.61312546,29.80985093,21.92442302,21.30660591,22.54224013,188.7200155,152.5607571,224.8792738
144,Bothrochilus boa,Reptilia,26.27586697,26.02545409,26.52627985,30.19155121,29.96561254,30.41748989,22.6029703,22.35707646,22.84886415,365.2667182,343.6545576,386.8788787
145,Bothrops atrox,Reptilia,26.42632765,25.75260599,27.1000493,31.30268078,30.56669086,32.03867069,21.63068194,20.89521171,22.36615218,155.5847441,126.5281584,184.6413299
146,Bothrops asper,Reptilia,26.81484459,26.28735779,27.3423314,31.71064189,31.14792299,32.27336079,21.57043919,20.87290019,22.26797819,308.0236486,251.4569955,364.5903018
148,Broadleysaurus major,Reptilia,25.1576088,24.57634224,25.73887535,32.06980102,31.62781584,32.5117862,21.65679389,20.90305409,22.41053369,75.17755444,60.39097346,89.96413543
149,Gerrhosaurus major,Reptilia,24.0438694,23.60463409,24.48310471,31.27567896,30.74258325,31.80877466,20.52431682,19.97821848,21.07041515,112.8262105,95.77439846,129.8780226
150,Bronchocela cristatella,Reptilia,27.06854936,26.7143159,27.42278282,29.80232292,29.45873722,30.14590862,22.86575304,22.45919046,23.27231562,203.8895771,174.8543357,232.9248184
151,Brookesia brygooi,Reptilia,25.227059,24.75667156,25.69744644,32.608125,32.35753555,32.85871445,22.188125,21.74285287,22.63339713,263.63125,243.0935873,284.1689127
152,Brookesia stumpffi,Reptilia,25.73138189,25.02069063,26.44207314,30.42661008,29.19570783,31.65751234,22.29486828,21.15873264,23.43100392,394.9667008,372.4284192,417.5049824
153,Brookesia superciliaris,Reptilia,21.30057996,20.868401,21.73275891,28.81494478,28.4222246,29.20766497,19.57024767,19.12856595,20.01192939,328.0709754,317.550866,338.5910849
154,Brookesia therezieni,Reptilia,20.21348048,19.88708676,20.53987419,27.76979167,27.45553816,28.08404517,18.3639881,18.03248448,18.69549171,297.0639881,287.564737,306.5632392
155,Brookesia thieli,Reptilia,20.01809955,19.70329225,20.33290685,27.37073864,27.11979592,27.62168135,17.453125,17.12714613,17.77910387,346.6235795,338.5968138,354.6503453
167,Cachryx defensor,Reptilia,26.904045,26.8468182,26.9612718,29.81148042,29.68779145,29.93516939,17.30540167,17.08842064,17.52238269,31.81250042,30.66250972,32.96249112
170,Calabaria reinhardtii,Reptilia,27.28567824,26.92559876,27.64575773,32.80482706,32.27463338,33.33502074,21.73584184,21.19888903,22.27279464,21.57491494,12.02019101,31.12963887
176,Calotes emma,Reptilia,26.17200258,25.72368008,26.62032508,29.18030774,28.37274732,29.98786817,18.72676206,17.73491928,19.71860484,20.76244758,15.37716645,26.14772871
177,Calotes versicolor,Reptilia,26.53706396,25.97083337,27.10329455,27.68011162,26.44734989,28.91287335,19.48997512,18.21776242,20.76218782,93.51122437,70.07343861,116.9490101
178,Calumma oshaughnessyi,Reptilia,20.2275111,19.89356927,20.56145293,27.66624016,27.35922673,27.97325358,18.66948819,18.30237028,19.0366061,340.328248,324.1102017,356.5462944
180,Calumma parsonii,Reptilia,21.03754719,20.76114963,21.31394475,28.88942057,28.63656776,29.14227339,19.08072917,18.7809328,19.38052553,332.6380208,324.0364831,341.2395585
183,Candoia bibroni,Reptilia,26.41967963,26.03865306,26.8007062,30.62797644,30.36716591,30.88878698,24.55334193,24.22696513,24.87971872,385.1368252,360.9795787,409.2940717
184,Candoia carinata,Reptilia,26.57863101,26.22585131,26.93141071,30.97164983,30.65101895,31.2922807,23.21913223,22.81175912,23.62650534,296.8852833,277.9911442,315.7794224
185,Candoia paulsoni,Reptilia,26.65397227,26.30300597,27.00493857,30.86057775,30.55617144,31.16498407,23.66402328,23.26568101,24.06236555,294.0918164,279.3570041,308.8266287
191,Celestus warreni,Reptilia,24.81125977,24.51266636,25.10985318,28.28585864,28.0210188,28.55069848,17.44225795,17.11174131,17.7727746,82.46644773,71.25533282,93.67756263
192,Centrochelys sulcata,Reptilia,25.91544813,24.98366521,26.84723104,28.91268609,27.46898346,30.35638873,16.09565363,15.136223,17.05508425,19.63604406,8.469094612,30.80299351
194,Cerastes cerastes,Reptilia,24.19013992,23.40989243,24.97038742,22.253731,21.18746583,23.31999616,9.90857991,8.871576419,10.9455834,11.52426643,7.697808739,15.35072413
199,Ceratophrys ornata,Reptilia,17.64778389,17.17751092,18.11805686,30.83112785,30.41658351,31.24567218,17.63957639,17.23231082,18.04684195,106.3535781,95.4636736,117.2434825
203,Chalarodon madagascariensis,Reptilia,25.57181731,25.3142968,25.82933783,34.2606223,33.94128023,34.57996438,23.16478285,22.8592512,23.47031449,153.7608389,137.4730387,170.0486391
204,Chalcides ocellatus,Reptilia,19.98492041,19.31005874,20.65978209,16.61231514,15.77062871,17.45400157,8.692051555,8.022156245,9.361946865,76.77716166,65.84685672,87.7074666
205,Chalcides sepsoides,Reptilia,21.92649523,21.65090982,22.20208065,19.97685012,19.48533194,20.4683683,7.967670337,7.501810921,8.433529753,26.90520791,16.69887776,37.11153806
207,Chamaeleo calyptratus,Reptilia,23.25715,22.57241609,23.94188391,25.07544227,24.27651946,25.87436509,16.06860504,15.39541996,16.74179011,134.8409232,115.9466919,153.7351546
208,Chamaeleo dilepis,Reptilia,23.37920708,22.59553726,24.1628769,30.43278754,29.79768032,31.06789476,20.96170496,20.19809694,21.72531298,115.0388303,97.24236396,132.8352966
209,Chamaeleo gracilis,Reptilia,25.46072351,24.64592467,26.27552234,31.71836579,30.91240246,32.52432912,19.34731986,18.46705833,20.22758139,22.54807717,15.83910501,29.25704933
